Word,Translation,Part of Speech,Example Sentence,Example Translation
hunting,การล่าสัตว์,n.,"""Hunting is a traditional activity in some regions.""","""การล่าสัตว์เป็นกิจกรรมดั้งเดิมในบางภูมิภาค"""
hunt,ล่า,n.,"""They plan to hunt deer this weekend.""","""พวกเขาวางแผนที่จะล่ากวางสุดสัปดาห์นี้"""
hurt,เจ็บ,n,"""Be careful not to hurt yourself.""","""ระวังอย่าทำร้ายตัวเอง"""
hypothesis,สมมติฐาน,n,"""The hypothesis needs further testing.""","""สมมติฐานนี้จำเป็นต้องมีการทดสอบเพิ่มเติม"""
icon,ไอคอน,n.,"""The celebrity became an icon in the industry.""","""ดาราดังกลายเป็นไอคอนในวงการ"""
ideal,ในอุดมคติ,n.,"""An ideal job is one you love.""","""งานที่เหมาะคือคนที่คุณรัก"""
identical,เหมือนกัน,adj.,"""Her dress matches mine; it's identical.""","""ชุดของเธอเข้ากันกับของฉัน มันเหมือนกัน"""
illusion,ภาพลวงตา,n.,"""The magic show created an illusion.""","""การแสดงมายากลสร้างภาพลวงตา"""
illustrate,แสดงให้เห็น,v.,"""Use visuals to illustrate your point.""","""ใช้ภาพเพื่ออธิบายประเด็นของคุณ"""
imagination,จินตนาการ,n.,"""Children have vivid imaginations.""","""เด็กๆ มีจินตนาการที่สดใส"""
immigration,การตรวจคนเข้าเมือง,n.,"""Immigration policies are a topic of debate.""","""นโยบายการย้ายถิ่นฐานเป็นหัวข้อถกเถียง"""
immune,มีภูมิคุ้มกัน,adj.,"""A strong immune system fights off illnesses.""","""ระบบภูมิคุ้มกันที่แข็งแกร่งต่อสู้กับโรคภัยไข้เจ็บ"""
impatient,ใจร้อน,adj.,"""Don't be impatient; the results will come.""","""อย่าใจร้อน ผลลัพธ์จะมา"""
implement,ดำเนินการ,v.,"""They will implement the new strategy.""","""พวกเขาจะใช้กลยุทธ์ใหม่"""
implication,ความหมาย,n.,"""The implication of his words was clear.""","""ความหมายของคำพูดของเขาชัดเจน"""
imply,บอกเป็นนัย,v.,"""What do you imply by that statement?""","""คุณหมายถึงอะไรในข้อความนั้น?"""
impose,กำหนด,v.,"""The government may impose new regulations.""","""รัฐบาลอาจกำหนดกฎระเบียบใหม่"""
impressed,ประทับใจ,adj.,"""She was impressed by his achievements.""","""เธอประทับใจในความสำเร็จของเขา"""
impress,ประทับใจ,v.,"""Her artistry never fails to impress.""","""ศิลปะของเธอไม่เคยล้มเหลวที่จะสร้างความประทับใจ"""
incentive,แรงจูงใจ,n.,"""Financial incentives motivate employees.""","""สิ่งจูงใจทางการเงินจูงใจพนักงาน"""
inch,นิ้ว,n.,"""The room is ten feet by twelve inches.""","""ห้องนี้กว้างสิบคูณสิบสองนิ้ว"""
incident,เหตุการณ์,n.,"""The incident caused quite a commotion.""","""เหตุการณ์ดังกล่าวทำให้เกิดความปั่นป่วนค่อนข้างมาก"""
income,รายได้,n.,"""His income allows for a comfortable lifestyle.""","""รายได้ของเขาช่วยให้มีวิถีชีวิตที่สะดวกสบาย"""
incorporate,รวมเข้าด้วยกัน,v.,"""They plan to incorporate new features.""","""พวกเขาวางแผนที่จะรวมคุณสมบัติใหม่ๆ"""
increasingly,มากขึ้นเรื่อยๆ,adv.,"""Increasingly, people are turning to renewable energy.""","""ผู้คนหันมาใช้พลังงานหมุนเวียนมากขึ้นเรื่อยๆ"""
independence,ความเป็นอิสระ,n.,"""Independence is a fundamental value.""","""ความเป็นอิสระเป็นคุณค่าพื้นฐาน"""
index,ดัชนี,n.,"""Check the index for the page number.""","""ตรวจสอบดัชนีสำหรับหมายเลขหน้า"""
indication,ข้อบ่งชี้,n.,"""There's no indication of foul play.""","""ไม่มีข้อบ่งชี้ถึงการเล่นผิดกติกา"""
industrial,ทางอุตสาหกรรม,adj.,"""Industrial pollution is a serious concern.""","""มลพิษทางอุตสาหกรรมเป็นเรื่องที่น่ากังวลอย่างมาก"""
inevitable,หลีกเลี่ยงไม่ได้,adj.,"""Change is inevitable in life.""","""การเปลี่ยนแปลงเป็นสิ่งที่หลีกเลี่ยงไม่ได้ในชีวิต"""
inevitably,อย่างหลีกเลี่ยงไม่ได้,adv.,"""Inevitably, challenges will arise.""","""ความท้าทายจะเกิดขึ้นอย่างหลีกเลี่ยงไม่ได้"""
infection,การติดเชื้อ,n.,"""The infection spread rapidly.""","""การติดเชื้อแพร่กระจายอย่างรวดเร็ว"""
infer,อนุมาน,v.,"""We can infer the meaning from the context.""","""เราสามารถอนุมานความหมายได้จากบริบท"""
inflation,เงินเฟ้อ,n.,"""Inflation can erode your purchasing power.""","""อัตราเงินเฟ้อสามารถกัดกร่อนกำลังซื้อของคุณได้"""
info,ข้อมูล,n.,"""Find more info on the website.""","""ค้นหาข้อมูลเพิ่มเติมบนเว็บไซต์"""
inform,แจ้ง,v.,"""Please inform me of any changes.""","""กรุณาแจ้งให้ฉันทราบหากมีการเปลี่ยนแปลงใด ๆ"""
infrastructure,โครงสร้างพื้นฐาน,n.,"""The city's infrastructure is well-developed.""","""โครงสร้างพื้นฐานของเมืองได้รับการพัฒนาอย่างดี"""
inhabitant,ผู้อยู่อาศัย,n.,"""The inhabitants of the island live peacefully.""","""ชาวเกาะอยู่อย่างสงบสุข"""
inherit,สืบทอด,v.,"""Children often inherit their parents' traits.""","""เด็กมักจะสืบทอดคุณลักษณะของพ่อแม่"""
initial,อักษรย่อ,adj.,"""The initial plan was successful.""","""แผนเริ่มแรกประสบผลสำเร็จ"""
inner,ภายใน,adj.,"""The inner workings of the machine are complex.""","""การทำงานภายในของเครื่องมีความซับซ้อน"""
innovative,นวัตกรรม,adj.,"""They developed an innovative solution.""","""พวกเขาพัฒนาโซลูชั่นที่เป็นนวัตกรรม"""
input,ป้อนข้อมูล,n.,"""Input from the team is essential.""","""ข้อมูลจากทีมเป็นสิ่งสำคัญ"""
insert,แทรก,v.,"""Please insert the key into the lock.""","""กรุณาใส่กุญแจเข้าไปในล็อค"""
insight,ข้อมูลเชิงลึก,n.,"""Her insight into the problem was valuable.""","""ความเข้าใจลึกซึ้งของเธอเกี่ยวกับปัญหานั้นมีค่า"""
insist,ยืนกราน,v.,"""He would always insist on doing things his way.""","""เขามักจะยืนกรานที่จะทำสิ่งต่าง ๆ ในแบบของเขา"""
inspector,สารวัตร,n.,"""The inspector examined the building for safety.""","""เจ้าหน้าที่ตรวจสอบอาคารเพื่อความปลอดภัย"""
inspire,สร้างแรงบันดาลใจ,v.,"""Her words never failed to inspire me.""","""คำพูดของเธอไม่เคยล้มเหลวที่จะสร้างแรงบันดาลใจให้ฉัน"""
install,ติดตั้ง,v.,"""They will install new software on the computer.""","""พวกเขาจะติดตั้งซอฟต์แวร์ใหม่บนคอมพิวเตอร์"""
instance,ตัวอย่าง,n.,"""In this instance, we should call for help.""","""ในกรณีนี้เราควรขอความช่วยเหลือ"""
institute,สถาบัน,n.,"""The research institute is known for groundbreaking discoveries.""","""สถาบันวิจัยแห่งนี้มีชื่อเสียงในด้านการค้นพบที่ก้าวล้ำ"""
insurance,ประกันภัย,n.,"""Having insurance can provide peace of mind in case of emergencies.""","""การมีประกันภัยสามารถให้ความอุ่นใจในกรณีฉุกเฉินได้"""
integrate,บูรณาการ,v.,"""We need to integrate these new features into the software.""","""เราจำเป็นต้องรวมคุณสมบัติใหม่เหล่านี้เข้ากับซอฟต์แวร์"""
intellectual,ทางปัญญา,adj.,"""She's a highly intellectual individual with a deep understanding of complex topics.""","""เธอเป็นบุคคลที่มีสติปัญญาสูงและมีความเข้าใจอย่างลึกซึ้งในหัวข้อที่ซับซ้อน"""
intended,ตั้งใจ,adj.,"""The message was intended for your eyes only.""","""ข้อความนี้มีไว้สำหรับดวงตาของคุณเท่านั้น"""
intense,เข้มข้น,adj.,"""The competition was intense, but she emerged as the winner.""","""การแข่งขันดุเดือด แต่เธอก็กลายเป็นผู้ชนะ"""
interact,มีปฏิสัมพันธ์,v.,"""It's important to interact with others to build relationships.""","""การโต้ตอบกับผู้อื่นเพื่อสร้างความสัมพันธ์เป็นสิ่งสำคัญ"""
internal,ภายใน,adj.,"""The internal workings of the machine are intricate.""","""การทำงานภายในของเครื่องมีความซับซ้อน"""
interpret,ตีความ,v.,"""She can interpret multiple languages fluently.""","""เธอสามารถแปลหลายภาษาได้อย่างคล่องแคล่ว"""
interrupt,ขัดจังหวะ,v.,"""Please don't interrupt me while I'm speaking.""","""กรุณาอย่ารบกวนฉันในขณะที่ฉันกำลังพูด"""
interval,ช่วงเวลา,n.,"""There was a short interval between the two acts of the play.""","""มีช่วงเวลาสั้นๆ ระหว่างการแสดงทั้งสองการแสดง"""
invade,บุก,v.,"""The enemy forces tried to invade the territory.""","""กองกำลังศัตรูพยายามบุกเข้าไปในดินแดน"""
invasion,การบุกรุก,n.,"""The invasion of the castle was meticulously planned.""","""การบุกรุกปราสาทมีการวางแผนอย่างพิถีพิถัน"""
investor,นักลงทุน,n.,"""The investor put money into the startup.""","""นักลงทุนนำเงินเข้าสู่การเริ่มต้น"""
isolate,แยกออกจากกัน,v.,"""They tried to isolate the virus in the lab.""","""พวกเขาพยายามแยกไวรัสในห้องแล็บ"""
issue,ปัญหา,v.,"""There was an issue with the plumbing.""","""มีปัญหากับระบบประปา"""
jail,คุก,n./ v.,"""The criminal was sent to jail.""","""คนร้ายถูกส่งเข้าคุก"""
jet,เจ็ท,n.,"""The jet flew at supersonic speed.""","""เครื่องบินไอพ่นบินด้วยความเร็วเหนือเสียง"""
joint,ข้อต่อ,adj./ n.,"""They built the treehouse as a joint project.""","""พวกเขาสร้างบ้านต้นไม้เป็นโครงการร่วมกัน"""
journalism,สื่อสารมวลชน,n.,"""She pursued a career in journalism.""","""เธอมีอาชีพด้านสื่อสารมวลชน"""
judgement,การตัดสิน,n.,"""The judgment of the court was fair.""","""คำตัดสินของศาลมีความเป็นธรรม"""
junior,จูเนียร์,adj.,"""He's a junior member of the team.""","""เขาเป็นรุ่นน้องของทีม"""
jury,คณะลูกขุน,n.,"""The jury reached a unanimous verdict.""","""คณะลูกขุนมีคำตัดสินเป็นเอกฉันท์"""
justice,ความยุติธรรม,n.,"""Justice must be served in every case.""","""จะต้องได้รับความยุติธรรมในทุกกรณี"""
justify,ปรับให้เหมาะสม,v.,"""Can you justify your actions?""","""คุณสามารถพิสูจน์การกระทำของคุณได้หรือไม่?"""
kit,ชุด,n.,"""The kit contains all the necessary tools.""","""ชุดนี้ประกอบด้วยเครื่องมือที่จำเป็นทั้งหมด"""
labour,แรงงาน,n.,"""The workers demanded fair labor conditions.""","""คนงานเรียกร้องสภาพแรงงานที่เป็นธรรม"""
ladder,บันไดปีน,n.,"""He climbed the ladder to reach the roof.""","""เขาปีนบันไดขึ้นไปถึงหลังคา"""
landing,ลงจอด,n.,"""The plane made a smooth landing.""","""เครื่องบินทำการลงจอดอย่างราบรื่น"""
landscape,ภูมิประเทศ,n.,"""The landscape was filled with rolling hills.""","""ภูมิทัศน์เต็มไปด้วยเนินเขาสลับซับซ้อน"""
lane,ช่องทาง,n.,"""Drive in the right lane on the highway.""","""ขับรถเลนขวาบนทางหลวง"""
largely,ส่วนใหญ่,adv.,"""Largely, the event was a success.""","""งานนี้ประสบความสำเร็จเป็นอย่างมาก"""
lately,เมื่อเร็วๆ นี้,adv.,"""I've been feeling tired lately.""","""ฉันรู้สึกเหนื่อยเมื่อเร็ว ๆ นี้"""
launch,ปล่อย,v./ n.,"""They will launch a new product next month.""","""พวกเขาจะเปิดตัวผลิตภัณฑ์ใหม่ในเดือนหน้า"""
leadership,ความเป็นผู้นำ,n.,"""His leadership skills are commendable.""","""ทักษะความเป็นผู้นำของเขาน่ายกย่อง"""
leaflet,ใบปลิว,n.,"""She handed out a leaflet about the event.""","""เธอแจกใบปลิวเกี่ยวกับงานดังกล่าว"""
league,ลีก,n.,"""They play in the same soccer league.""","""พวกเขาเล่นฟุตบอลลีกเดียวกัน"""
lean,เอียง,v.,"""Lean on me for support.""","""พึ่งฉันสำหรับการสนับสนุน"""
leave,ออกจาก,n,"""Don't leave your belongings unattended.""","""อย่าทิ้งสิ่งของของคุณไว้โดยไม่มีใครดูแล"""
legend,ตำนาน,n.,"""The story became a legend in the town.""","""เรื่องราวกลายเป็นตำนานในเมือง"""
lens,เลนส์,n.,"""The camera has a zoom lens.""","""กล้องมีเลนส์ซูม"""
level,ระดับ,v.,"""The floor is level and even.""","""พื้นมีความเรียบและสม่ำเสมอ"""
licence,ใบอนุญาต,n.,"""You need a license to drive a car.""","""คุณต้องมีใบอนุญาตในการขับรถ"""
lifetime,ตลอดชีวิต,n.,"""Their friendship lasted a lifetime.""","""มิตรภาพของพวกเขาคงอยู่ตลอดชีวิต"""
lighting,แสงสว่าง,n.,"""The lighting in the room was soft and warm.""","""แสงไฟในห้องก็นุ่มนวลและอบอุ่น"""
likewise,เช่นเดียวกัน,adv.,"""Likewise, I share your opinion.""","""ในทำนองเดียวกันฉันแบ่งปันความคิดเห็นของคุณ"""
limited,ถูก จำกัด,adj.,"""There is a limited supply of tickets available.""","""บัตรมีจำนวนจำกัด"""
literally,อย่างแท้จริง,adv.,"""He was so hungry that he could literally eat a horse.""","""เขาหิวมากจนสามารถกินม้าได้จริงๆ"""
literary,วรรณกรรม,adj.,"""She has a deep appreciation for literary classics.""","""เธอมีความซาบซึ้งอย่างมากต่อวรรณกรรมคลาสสิก"""
litre,ลิตร,n,"""The bottle contains one litre of water.""","""ขวดประกอบด้วยน้ำหนึ่งลิตร"""
lively,มีชีวิตชีวา,adj.,"""The party was lively with music and dancing.""","""งานปาร์ตี้มีชีวิตชีวาด้วยดนตรีและการเต้นรำ"""
load,โหลด,n./ v.,"""Be careful not to overload the truck.""","""ระวังอย่าให้บรรทุกเกินพิกัด"""
loan,เงินกู้,n.,"""She took out a loan to buy a new car.""","""เธอกู้เงินเพื่อซื้อรถคันใหม่"""
logical,ตรรกะ,adj.,"""His argument was clear and logical.""","""ข้อโต้แย้งของเขาชัดเจนและสมเหตุสมผล"""
long-term,ระยะยาว,adj./ adv.,"""They had a long-term plan for their business.""","""พวกเขามีแผนระยะยาวสำหรับธุรกิจของตน"""
loose,หลวม,adj.,"""Her scarf came loose in the wind.""","""ผ้าพันคอของเธอปลิวไปตามสายลม"""
lord,ท่านลอร์ด,n.,"""The lord of the manor lived in a grand castle.""","""เจ้าแห่งคฤหาสน์อาศัยอยู่ในปราสาทหลังใหญ่"""
lottery,หวย,n.,"""He won a substantial amount in the lottery.""","""เขาถูกลอตเตอรีเป็นจำนวนมาก"""
lower,ต่ำกว่า,v.,"""We need to lower our expenses.""","""เราต้องลดรายจ่ายลง"""
loyal,ซื่อสัตย์,adj.,"""She's a loyal friend who always supports me.""","""เธอเป็นเพื่อนที่ซื่อสัตย์ที่คอยสนับสนุนฉันเสมอ"""
lung,ปอด,n.,"""Smoking is harmful to your lungs.""","""การสูบบุหรี่เป็นอันตรายต่อปอดของคุณ"""
lyric,เนื้อเพลง,n.,"""The song had beautiful and meaningful lyrics.""","""เพลงนี้มีเนื้อเพลงที่สวยงามและมีความหมาย"""
magnificent,งดงาม,adj.,"""The view from the mountaintop was magnificent.""","""วิวจากยอดเขานั้นงดงามมาก"""
maintain,บำรุงรักษา,v.,"""It's important to maintain your car regularly.""","""สิ่งสำคัญคือต้องดูแลรักษารถของคุณอย่างสม่ำเสมอ"""
majority,ส่วนใหญ่,n.,"""The majority of the students passed the test.""","""นักเรียนส่วนใหญ่ผ่านการทดสอบ"""
manufacture,การผลิต,v.,"""They manufacture high-quality electronics.""","""พวกเขาผลิตอุปกรณ์อิเล็กทรอนิกส์คุณภาพสูง"""
marathon,มาราธอน,n.,"""Running a marathon requires endurance.""","""การวิ่งมาราธอนต้องใช้ความอดทน"""
margin,ระยะขอบ,n.,"""The margin of victory was very close.""","""ระยะขอบของชัยชนะอยู่ใกล้มาก"""
marker,เครื่องหมาย,n.,"""Use a marker to highlight important points.""","""ใช้มาร์กเกอร์เพื่อเน้นจุดสำคัญ"""
martial,การต่อสู้,adj.,"""Martial arts require discipline and skill.""","""ศิลปะการต่อสู้ต้องมีวินัยและทักษะ"""
massive,มโหฬาร,adj.,"""The building had a massive, imposing structure.""","""ตัวอาคารมีโครงสร้างที่ใหญ่โตและสง่างาม"""
mass,ประชาชนพลเมือง,n./ adj.,"""A mass of people gathered for the event.""","""ฝูงชนจำนวนมากมารวมตัวกันเพื่องานนี้"""
master,ผู้เชี่ยวชาญ,n./ v.,"""He is a master of his craft.""","""เขาเป็นผู้เชี่ยวชาญในงานฝีมือของเขา"""
matching,การจับคู่,adj.,"""Her dress and shoes were perfectly matching.""","""ชุดและรองเท้าของเธอเข้ากันอย่างลงตัว"""
mate,เพื่อน,n./ v.,"""They found their soulmate and got married.""","""พวกเขาพบเนื้อคู่และแต่งงานกัน"""
material,วัสดุ,adj.,"""The material used for the dress was silk.""","""วัสดุที่ใช้ตัดเย็บเป็นผ้าไหม"""
maximum,ขีดสุด,adj./ n.,"""The car reached its maximum speed.""","""รถถึงความเร็วสูงสุดแล้ว"""
mayor,นายกเทศมนตรี,n.,"""The mayor addressed the city's issues.""","""นายกเทศมนตรีกล่าวถึงปัญหาของเมือง"""
means,วิธี,n.,"""Saving money is a means to financial security.""","""การออมเงินเป็นหนทางสู่ความมั่นคงทางการเงิน"""
measurement,การวัด,n.,"""Take precise measurements for accuracy.""","""ทำการวัดที่แม่นยำเพื่อความแม่นยำ"""
mechanical,เครื่องกล,adj.,"""The watch has a mechanical movement.""","""นาฬิกามีกลไกการทำงาน"""
mechanic,ช่างเครื่อง,n.,"""The mechanic fixed the car's engine.""","""ช่างซ่อมเครื่องยนต์ของรถ"""
mechanism,กลไก,n.,"""The mechanism behind the invention was ingenious.""","""กลไกเบื้องหลังการประดิษฐ์นี้มีความชาญฉลาด"""
medal,เหรียญ,n.,"""He won a gold medal in the Olympics.""","""เขาได้รับรางวัลเหรียญทองในการแข่งขันกีฬาโอลิมปิก"""
medication,ยา,n.,"""Medication is a substance used to treat or alleviate medical conditions, illnesses, or symptoms.""","""ยาเป็นสารที่ใช้ในการรักษาหรือบรรเทาอาการทางการแพทย์ ความเจ็บป่วย หรืออาการต่างๆ"""
medium,ปานกลาง,n.,"""The painting was done in watercolor medium.""","""วาดภาพโดยใช้สื่อสีน้ำ"""
melt,ละลาย,v.,"""The ice began to melt in the warm sun.""","""น้ำแข็งเริ่มละลายเมื่อโดนแสงแดดอันอบอุ่น"""
membership,สมาชิกภาพ,n.,"""Membership in the club comes with benefits.""","""การเป็นสมาชิกในสโมสรมาพร้อมกับสิทธิประโยชน์"""
memorable,น่าจดจำ,adj.,"""The vacation was a memorable experience.""","""วันหยุดเป็นประสบการณ์ที่น่าจดจำ"""
metaphor,อุปมา,n.,"""Her smile was like a ray of sunshine, a metaphor for happiness.""","""รอยยิ้มของเธอเปรียบเสมือนแสงตะวันที่เป็นอุปมาถึงความสุข"""
military,ทหาร,adj./ n.,"""The military conducted training exercises.""","""กองทัพได้ทำการฝึกฝึกซ้อม"""
mineral,แร่,n.,"""The region is rich in mineral resources.""","""ภูมิภาคนี้อุดมไปด้วยทรัพยากรแร่"""
miner,คนขุดแร่,n.,"""The miner dug deep into the earth for coal.""","""คนขุดแร่ขุดลึกลงไปในดินเพื่อหาถ่านหิน"""
minimum,ขั้นต่ำ,adj./ n.,"""The minimum age to apply is 18.""","""อายุขั้นต่ำในการสมัครคือ 18"""
minister,รัฐมนตรี,n.,"""The minister delivered a powerful sermon.""","""ท่านรัฐมนตรีกล่าวเทศนาอันทรงพลัง"""
minor,ส่วนน้อย,adj.,"""The injury was minor and didn't require much attention.""","""อาการบาดเจ็บเล็กน้อยและไม่ต้องการการดูแลมากนัก"""
miserable,น่าเวทนา,adj.,"""She felt miserable after the breakup.""","""เธอรู้สึกเศร้าโศกหลังจากการเลิกรา"""
mission,ภารกิจ,n.,"""Their mission was to explore uncharted territory.""","""ภารกิจของพวกเขาคือการสำรวจดินแดนที่ไม่เคยมีใครรู้จัก"""
mistake,ความผิดพลาด,v.,"""Making a mistake is a part of the learning process.""","""การทำผิดพลาดเป็นส่วนหนึ่งของกระบวนการเรียนรู้"""
mixed,ผสม,adj.,"""The colors were mixed to create a unique shade.""","""ผสมสีเพื่อสร้างเฉดสีที่เป็นเอกลักษณ์"""
model,แบบอย่าง,v.,"""She's a successful model in the fashion industry.""","""เธอเป็นนางแบบที่ประสบความสำเร็จในวงการแฟชั่น"""
mode,โหมด,n.,"""The computer is in sleep mode.""","""คอมพิวเตอร์อยู่ในโหมดสลีป"""
modest,เจียมเนื้อเจียมตัว,adj.,"""He has a modest personality and doesn't boast.""","""เขามีบุคลิกที่ถ่อมตัวและไม่โอ้อวด"""
modify,แก้ไข,v.,"""We need to modify the design to fit our requirements.""","""เราจำเป็นต้องปรับเปลี่ยนการออกแบบให้เหมาะกับความต้องการของเรา"""
monitor,เฝ้าสังเกต,n./ v.,"""The doctor will monitor your progress.""","""แพทย์จะติดตามความคืบหน้าของคุณ"""
monster,สัตว์ประหลาด,n.,"""The movie featured a giant monster.""","""หนังเรื่องนี้มีสัตว์ประหลาดยักษ์"""
monthly,รายเดือน,adj.,"""The magazine is published monthly.""","""นิตยสารดังกล่าวจัดพิมพ์เป็นรายเดือน"""
monument,อนุสาวรีย์,n.,"""The monument commemorates a historic event.""","""อนุสาวรีย์นี้เป็นอนุสรณ์ถึงเหตุการณ์ประวัติศาสตร์"""
moral,ศีลธรรม,adj./ n.,"""Having a strong moral compass is important.""","""การมีเข็มทิศทางศีลธรรมที่เข้มแข็งเป็นสิ่งสำคัญ"""
moreover,นอกจากนี้,adv.,"""Moreover, the cost of living has increased.""","""อีกทั้งค่าครองชีพก็เพิ่มขึ้นอีกด้วย"""
mortgage,จำนอง,n.,"""They took out a mortgage to buy the house.""","""พวกเขาเอาจำนองเพื่อซื้อบ้าน"""
mosque,มัสยิด,n.,"""The mosque is a place of worship for Muslims.""","""มัสยิดเป็นสถานที่สักการะของชาวมุสลิม"""
motion,การเคลื่อนไหว,n.,"""The car's motion was smooth and steady.""","""การเคลื่อนไหวของรถเป็นไปอย่างราบรื่นและมั่นคง"""
motivate,กระตุ้น,v.,"""His success story can motivate others.""","""เรื่องราวความสำเร็จของเขาสามารถจูงใจผู้อื่นได้"""
motor,เครื่องยนต์,n./ adj.,"""The motor of the boat needed repair.""","""มอเตอร์ของเรือจำเป็นต้องได้รับการซ่อมแซม"""
mount,เมานต์,v.,"""They climbed the mountain to reach the summit.""","""พวกเขาปีนขึ้นไปบนภูเขาเพื่อไปถึงยอดเขา"""
moving,การย้าย,adj.,"""The moving van carried all their belongings.""","""รถตู้ขนย้ายขนสัมภาระทั้งหมด"""
multiple,หลายรายการ,adj.,"""There are multiple options to choose from.""","""มีหลายตัวเลือกให้เลือก"""
mysterious,ลึกลับ,adj.,"""The ancient temple is shrouded in mysterious legends.""","""วัดโบราณถูกปกคลุมไปด้วยตำนานลึกลับ"""
myth,ตำนาน,n.,"""The story of King Arthur is a famous myth.""","""เรื่องราวของกษัตริย์อาเธอร์เป็นตำนานที่มีชื่อเสียง"""
naked,เปลือยเปล่า,adj.,"""It's inappropriate to be naked in public.""","""ไม่เหมาะสมที่จะเปลือยกายในที่สาธารณะ"""
narrow,แคบ,v.,"""The road is narrow and winding.""","""ถนนแคบและคดเคี้ยว"""
nasty,น่ารังเกียจ,adj.,"""He made a nasty comment about her appearance.""","""เขาแสดงความคิดเห็นที่น่ารังเกียจเกี่ยวกับรูปลักษณ์ของเธอ"""
national,ระดับชาติ,n.,"""National holidays are celebrated across the country.""","""วันหยุดประจำชาติมีการเฉลิมฉลองทั่วประเทศ"""
navigation,การนำทาง,n.,"""GPS navigation helps drivers find their way.""","""ระบบนำทาง GPS ช่วยให้ผู้ขับขี่สามารถค้นหาเส้นทางได้"""
nearby,ใกล้เคียง,adj./ adv.,"""The store is nearby, just around the corner.""","""ร้านอยู่ใกล้แค่หัวมุมถนน"""
neat,ประณีต,adj.,"""She keeps her workspace neat and organized.""","""เธอรักษาพื้นที่ทำงานของเธอให้เรียบร้อยและเป็นระเบียบ"""
necessity,ความจำเป็น,n.,"""Clean water is a necessity for life.""","""น้ำสะอาดเป็นสิ่งจำเป็นสำหรับชีวิต"""
negative,เชิงลบ,n.,"""Avoid negative thinking for a positive outlook.""","""หลีกเลี่ยงการคิดเชิงลบเพื่อมองโลกในแง่บวก"""
negotiate,ต่อรอง,v.,"""They need to negotiate the terms of the contract.""","""พวกเขาจำเป็นต้องเจรจาเงื่อนไขของสัญญา"""
negotiation,การเจรจาต่อรอง,n.,"""The negotiation process was challenging.""","""กระบวนการเจรจามีความท้าทาย"""
nerve,เส้นประสาท,n.,"""He had the nerve to speak in front of a large audience.""","""เขามีกล้าที่จะพูดต่อหน้าผู้ฟังจำนวนมาก"""
neutral,เป็นกลาง,adj.,"""The neutral position is neither for nor against.""","""ตำแหน่งที่เป็นกลางไม่ใช่ทั้งเพื่อหรือต่อต้าน"""
nevertheless,แต่ถึงอย่างไร,adv.,"""Nevertheless, they continued with their plan.""","""อย่างไรก็ตาม พวกเขายังคงดำเนินแผนต่อไป"""
newly,ใหม่,adv.,"""The newlyweds are on their honeymoon.""","""คู่บ่าวสาวกำลังฮันนีมูน"""
nightmare,ฝันร้าย,n.,"""The horror movie gave her a nightmare.""","""หนังสยองขวัญทำให้เธอฝันร้าย"""
norm,บรรทัดฐาน,n.,"""It's important to follow social norms.""","""การปฏิบัติตามบรรทัดฐานทางสังคมเป็นสิ่งสำคัญ"""
notebook,สมุดบันทึก,n.,"""She jotted down her thoughts in a notebook.""","""เธอจดความคิดของเธอลงในสมุดบันทึก"""
notion,ความคิด,n.,"""The notion of time is relative.""","""ความคิดเรื่องเวลามีความสัมพันธ์กัน"""
novelist,นักประพันธ์,n.,"""The novelist wrote a best-selling book.""","""นักเขียนนวนิยายเขียนหนังสือขายดี"""
nowadays,ทุกวันนี้,adv.,"""Nowadays, technology is everywhere.""","""ปัจจุบันเทคโนโลยีมีอยู่ทุกที่"""
numerous,มากมาย,adj.,"""There are numerous possibilities to explore.""","""มีความเป็นไปได้มากมายให้สำรวจ"""
nursing,การพยาบาล,adj.,"""Nursing is a noble profession.""","""การพยาบาลเป็นอาชีพที่มีเกียรติ"""
nutrition,โภชนาการ,n.,"""Good nutrition is essential for a healthy lifestyle.""","""โภชนาการที่ดีเป็นสิ่งจำเป็นสำหรับการดำเนินชีวิตที่มีสุขภาพดี"""
obesity,โรคอ้วน,n.,"""obesity""","""โรคอ้วน"""
obey,เชื่อฟัง,v.,"""obey""","""เชื่อฟัง"""
object,วัตถุ,v.,"""The object on the shelf caught her attention.""","""วัตถุบนชั้นวางดึงดูดความสนใจของเธอ"""
obligation,ภาระผูกพัน,n.,"""Meeting deadlines is an obligation in this job.""","""กำหนดเวลาการประชุมเป็นข้อผูกมัดในงานนี้"""
observation,การสังเกต,n.,"""His keen observation skills helped solve the case.""","""ทักษะการสังเกตที่เฉียบแหลมของเขาช่วยคลี่คลายคดีนี้ได้"""
observe,สังเกต,v.,"""We observe safety protocols to prevent accidents.""","""เราปฏิบัติตามระเบียบปฏิบัติด้านความปลอดภัยเพื่อป้องกันอุบัติเหตุ"""
obstacle,อุปสรรค,n.,"""The fallen tree was a significant obstacle on the trail.""","""ต้นไม้ล้มเป็นอุปสรรคสำคัญในเส้นทาง"""
obtain,รับ,v.,"""She needed to obtain a permit for the construction.""","""เธอจำเป็นต้องได้รับใบอนุญาตในการก่อสร้าง"""
occasionally,เป็นครั้งคราว,adv.,"""We occasionally visit our relatives in the countryside.""","""เราไปเยี่ยมญาติที่ต่างจังหวัดเป็นครั้งคราว"""
