Word,Translation,Part of Speech,Example Sentence,Translation
intake,การบริโภค,n.,Monitor your daily calorie intake.,ติดตามปริมาณแคลอรี่ในแต่ละวันของคุณ
integral,บูรณาการ,adj.,Communication is integral to teamwork.,การสื่อสารเป็นส่วนสำคัญของการทำงานเป็นทีม
integrity,ความซื่อสัตย์,n.,Maintain your integrity in all situations.,รักษาความซื่อสัตย์ของคุณในทุกสถานการณ์
intellectual,ทางปัญญา,n.,She's an intellectual with deep knowledge.,เธอเป็นผู้มีปัญญามีความรู้เชิงลึก
intensify,กระชับ,v.,The storm will intensify tonight.,พายุจะทวีความรุนแรงมากขึ้นในคืนนี้
intensity,ความเข้ม,n.,The intensity of the competition was high.,ความเข้มข้นของการแข่งขันอยู่ในระดับสูง
intensive,เข้มข้น,adj.,The training program was intensive.,โปรแกรมการฝึกอบรมมีความเข้มข้น
intent,เจตนา,n.,He had a clear intent in mind.,เขามีเจตนาที่ชัดเจนในใจ
interactive,โต้ตอบ,adj.,The interactive game was engaging.,เกมแบบโต้ตอบนั้นน่าดึงดูด
interface,อินเตอร์เฟซ,n.,The software has a user-friendly interface.,ซอฟต์แวร์มีส่วนต่อประสานที่ใช้งานง่าย
interfere,รบกวน,v,Don't interfere in their personal matters.,อย่ายุ่งเรื่องส่วนตัวของพวกเขา
interim,ชั่วคราว,adj.,She served as the interim leader.,เธอทำหน้าที่เป็นผู้นำชั่วคราว
interior,ภายใน,adj./ n.,The interior of the house was beautifully decorated.,ภายในบ้านได้รับการตกแต่งอย่างสวยงาม
intermediate,ระดับกลาง,adj.,The intermediate level requires more skills.,ระดับกลางต้องใช้ทักษะมากขึ้น
intervene,แทรกแซง,v.,He had to intervene to stop the argument.,เขาต้องเข้าไปแทรกแซงเพื่อหยุดการโต้แย้ง
intimate,สนิทสนม,adj.,They have an intimate relationship.,พวกเขามีความสัมพันธ์ใกล้ชิด
intriguing,น่าสนใจ,adj.,The mystery was intriguing.,ความลึกลับนั้นน่าสนใจ
investigator,นักสืบ,n.,The investigator solved the case.,พนักงานสอบสวนคลี่คลายคดีแล้ว
invisible,ล่องหน,adj.,The invisible force was at work.,พลังที่มองไม่เห็นกำลังทำงานอยู่
invoke,วิงวอน,v.,She could invoke ancient rituals.,เธอสามารถเรียกพิธีกรรมโบราณได้
involvement,การมีส่วนร่วม,n.,His involvement in the project was essential.,การมีส่วนร่วมของเขาในโครงการเป็นสิ่งสำคัญ
ironic,แดกดัน,adj.,It's ironic that he's afraid of spiders.,น่าแปลกที่เขากลัวแมงมุม
irony,ประชด,n.,The situation is filled with irony.,สถานการณ์เต็มไปด้วยการประชด
irrelevant,ไม่เกี่ยวข้อง,adj.,Your comment is irrelevant to the discussion.,ความคิดเห็นของคุณไม่เกี่ยวข้องกับการสนทนา
isolation,การแยกตัว,n.,Isolation can lead to loneliness.,ความโดดเดี่ยวอาจนำไปสู่ความเหงาได้
judicial,การพิจารณาคดี,adj.,The judicial system upholds the law.,ระบบตุลาการยึดถือกฎหมาย
junction,ทางแยก,n.,The junction is a major traffic point.,ทางแยกเป็นจุดสัญจรที่สำคัญ
jurisdiction,เขตอำนาจศาล,n.,This falls under their jurisdiction.,สิ่งนี้อยู่ภายใต้เขตอำนาจศาลของพวกเขา
just,แค่,adj.,Be just and fair in your decisions.,ยุติธรรมและยุติธรรมในการตัดสินใจของคุณ
justification,เหตุผล,n.,Provide a justification for your actions.,ให้เหตุผลสำหรับการกระทำของคุณ
kidnap,ลักพาตัว,v.,The criminals attempted to kidnap the heiress.,คนร้ายพยายามลักพาตัวทายาท
kidney,ไต,n.,He donated a kidney to save a life.,เขาบริจาคไตเพื่อช่วยชีวิต
kingdom,อาณาจักร,n.,The animal kingdom is diverse.,อาณาจักรสัตว์มีความหลากหลาย
lad,เด็กหนุ่ม,n.,The young lad helped his neighbor.,เด็กหนุ่มช่วยเพื่อนบ้านของเขา
landlord,เจ้าของบ้าน,n.,The landlord fixed the plumbing issue.,เจ้าของบ้านแก้ไขปัญหาประปาแล้ว
landmark,จุดสังเกต,n.,The historical landmark attracts tourists.,สถานที่สำคัญทางประวัติศาสตร์ดึงดูดนักท่องเที่ยว
lap,ตัก,n.,She sat in his lap during the movie.,เธอนั่งบนตักของเขาระหว่างการชมภาพยนตร์
large-scale,ขนาดใหญ่,adj.,They organized a large-scale event.,พวกเขาจัดงานใหญ่
laser,เลเซอร์,n.,The laser beam cut through the metal.,ลำแสงเลเซอร์ตัดผ่านโลหะ
latter,หลัง,adj./ n.,Choose the latter option.,เลือกตัวเลือกหลัง
lawn,สนามหญ้า,n.,The lawn needed mowing.,สนามหญ้าจำเป็นต้องตัดหญ้า
lawsuit,คดีความ,n.,They settled the dispute with a lawsuit.,พวกเขายุติข้อพิพาทด้วยการฟ้องร้อง
layout,เค้าโครง,n.,The layout of the website was user-friendly.,รูปแบบของเว็บไซต์นั้นใช้งานง่าย
leak,รั่ว,v./ n.,There's a leak in the roof.,มีน้ำรั่วที่หลังคา
leap,เผ่น,v./ n.,He made a daring leap off the cliff.,เขากระโดดลงจากหน้าผาอย่างกล้าหาญ
legacy,มรดก,n.,The artist's legacy lives on through his work.,มรดกของศิลปินยังคงอยู่ผ่านผลงานของเขา
legendary,ตำนาน,adj.,The legendary hero's tales are known to all.,นิทานของฮีโร่ในตำนานเป็นที่รู้จักของทุกคน
legislature,สภานิติบัญญัติ,n.,The legislature passed a new law.,สภานิติบัญญัติผ่านกฎหมายใหม่
legitimate,ถูกต้องตามกฎหมาย,adj.,It is a legitimate business.,เป็นธุรกิจที่ถูกกฎหมาย
lengthy,ยาว,adj.,The meeting became lengthy.,การประชุมเริ่มยาวนาน
lesbian,เลสเบี้ยน,adj.,She is a proud lesbian.,เธอเป็นเลสเบี้ยนที่น่าภาคภูมิใจ
lesser,น้อยกว่า,adj.,His role was of lesser importance.,บทบาทของเขามีความสำคัญน้อยกว่า
lethal,ร้ายแรง,adj.,The poison was lethal.,พิษนั้นถึงตาย
liable,ต้องรับผิดชอบ,adj.,You are liable for the damages.,คุณต้องรับผิดชอบต่อความเสียหาย
liberal,เสรีนิยม,adj./ n.,He holds liberal views on social issues.,เขามีมุมมองเสรีนิยมเกี่ยวกับประเด็นทางสังคม
liberation,การปลดปล่อย,n.,The liberation of the country was celebrated.,มีการเฉลิมฉลองการปลดปล่อยประเทศ
liberty,เสรีภาพ,n.,Freedom and liberty are fundamental rights.,เสรีภาพและเสรีภาพเป็นสิทธิขั้นพื้นฐาน
license,ใบอนุญาต,v.,He obtained a license to operate.,เขาได้รับใบอนุญาตประกอบกิจการ
lifelong,ตลอดชีวิต,adj.,Their lifelong friendship was evident.,มิตรภาพตลอดชีวิตของพวกเขาปรากฏชัด
likelihood,ความน่าจะเป็น,n.,The likelihood of success is high.,โอกาสประสบความสำเร็จมีสูง
limb,แขนขา,n.,He injured his limb in the accident.,เขาได้รับบาดเจ็บที่แขนขาจากอุบัติเหตุ
linear,เชิงเส้น,adj.,The data is presented in a linear fashion.,ข้อมูลถูกนำเสนอในรูปแบบเชิงเส้น
line-up,เข้าแถว,n.,Check the line-up for the concert.,ตรวจสอบรายชื่อคอนเสิร์ต
linger,อิทธิพล,v.,The memories of that day still linger.,ความทรงจำในวันนั้นยังคงอยู่
listing,รายการ,n.,The real estate listing is online.,รายชื่ออสังหาริมทรัพย์ออนไลน์อยู่
literacy,การรู้หนังสือ,n.,Literacy rates have improved.,อัตราการรู้หนังสือดีขึ้น
liver,ตับ,n.,The liver is an essential organ.,ตับเป็นอวัยวะสำคัญ
log,บันทึก,n./ v.,Log your daily activities.,บันทึกกิจกรรมประจำวันของคุณ
logic,ตรรกะ,n.,His argument is based on sound logic.,ข้อโต้แย้งของเขาอยู่บนพื้นฐานของตรรกะเสียง
long-standing,ยืนยาว,adj.,They have a long-standing tradition.,พวกเขามีประเพณีอันยาวนาน
long-time,เป็นเวลานาน,adj.,She's a long-time resident.,เธอเป็นผู้พักอาศัยมายาวนาน
loom,เครื่องทอผ้า,v.,The dark clouds loom overhead.,เมฆดำทะมึนอยู่เหนือศีรษะ
loop,วนซ้ำ,n.,Create a loop in the program.,สร้างลูปในโปรแกรม
loyalty,ความภักดี,n.,Loyalty to friends is important.,ความภักดีต่อเพื่อนเป็นสิ่งสำคัญ
machinery,เครื่องจักร,n.,The machinery needs maintenance.,เครื่องจักรต้องการการบำรุงรักษา
magical,ขลัง,adj.,The magician performed a magical trick.,นักมายากลได้แสดงมายากล
magistrate,ผู้พิพากษา,n.,The magistrate presided over the case.,ผู้พิพากษาเป็นประธานในคดีนี้
magnetic,แม่เหล็ก,adj.,The magnetic field attracts metal objects.,สนามแม่เหล็กดึงดูดวัตถุที่เป็นโลหะ
magnitude,ขนาด,n.,The magnitude of the earthquake was enormous.,แผ่นดินไหวมีความรุนแรงมาก
mainland,แผ่นดินใหญ่,n.,The mainland is connected by a bridge.,แผ่นดินใหญ่เชื่อมต่อกันด้วยสะพาน
mainstream,กระแสหลัก,n./ adj.,The film appeals to the mainstream audience.,ภาพยนตร์เรื่องนี้ดึงดูดผู้ชมกระแสหลัก
maintenance,การซ่อมบำรุง,n.,Regular maintenance keeps things running.,การบำรุงรักษาตามปกติช่วยให้สิ่งต่างๆ ทำงานต่อไปได้
mandate,อาณัติ,n.,The government has a new mandate.,รัฐบาลได้รับอาณัติใหม่
mandatory,บังคับ,adj.,Attendance is mandatory for all employees.,การเข้าร่วมเป็นสิ่งจำเป็นสำหรับพนักงานทุกคน
manifest,ประจักษ์,v.,The symptoms manifest as a rash.,อาการแสดงเป็นผื่น.
manipulate,จัดการ,v.,Don't manipulate the data.,อย่าจัดการข้อมูล
manuscript,ต้นฉบับ,n.,The manuscript is ready for editing.,ต้นฉบับพร้อมสำหรับการแก้ไข
marine,ทะเล,adj.,The marine life in the ocean is diverse.,สิ่งมีชีวิตใต้ท้องทะเลในมหาสมุทรมีความหลากหลาย
marketplace,ตลาด,n.,The marketplace was bustling with activity.,ตลาดคึกคักไปด้วยกิจกรรม
mask,หน้ากาก,n.,Wear a mask to protect against COVID-19.,สวมหน้ากากอนามัยเพื่อป้องกันเชื้อโควิด-19
massacre,การสังหารหมู่,n.,The massacre was a tragic event.,การสังหารหมู่ครั้งนี้ถือเป็นเหตุการณ์ที่น่าสลดใจ
mathematical,ทางคณิตศาสตร์,adj.,Mathematical equations can be complex.,สมการทางคณิตศาสตร์อาจซับซ้อนได้
mature,เป็นผู้ใหญ่,adj./ v.,He's a mature and responsible adult.,เขาเป็นผู้ใหญ่และมีความรับผิดชอบ
maximize,ขยายใหญ่สุด,v.,Maximize your potential with hard work.,เพิ่มศักยภาพสูงสุดด้วยการทำงานหนัก
meaningful,มีความหมาย,adj.,Their love story is meaningful to them.,เรื่องราวความรักของพวกเขามีความหมายสำหรับพวกเขา
meantime,ระหว่างนี้,n.,"In the meantime, we can prepare.",ในระหว่างนี้เราก็สามารถเตรียมตัวได้
medieval,ยุคกลาง,adj.,The medieval castle still stands.,ปราสาทยุคกลางยังคงตั้งตระหง่านอยู่
meditation,การทำสมาธิ,n.,Meditation helps calm the mind.,การทำสมาธิช่วยให้จิตใจสงบ
melody,ทำนอง,n.,The melody of the song was beautiful.,ทำนองของเพลงก็ไพเราะ
memo,บันทึก,n.,He wrote a memo to his colleague.,เขาเขียนบันทึกถึงเพื่อนร่วมงานของเขา
memoir,ความทรงจำ,n.,Her memoir recounts her life experiences.,บันทึกความทรงจำของเธอเล่าถึงประสบการณ์ชีวิตของเธอ
memorial,อนุสรณ์สถาน,n.,The memorial honors fallen soldiers.,อนุสรณ์สถานเชิดชูเกียรติทหารที่เสียชีวิต
mentor,ที่ปรึกษา,n.,She's a dedicated mentor to young professionals.,เธอเป็นที่ปรึกษาที่ทุ่มเทให้กับมืออาชีพรุ่นเยาว์
merchant,พ่อค้า,n.,The merchant sold goods at the market.,พ่อค้าขายสินค้าที่ตลาด
mercy,ความเมตตา,n.,Show mercy and compassion to others.,แสดงความเมตตาและความเห็นอกเห็นใจต่อผู้อื่น
mere,เพียง,adj.,It was a mere misunderstanding.,มันเป็นเพียงความเข้าใจผิด
merge,ผสาน,v.,Two companies decided to merge.,สองบริษัทจึงตัดสินใจควบรวมกิจการ
merger,การควบรวมกิจการ,n.,The merger created a larger corporation.,การควบรวมกิจการทำให้เกิดบริษัทที่ใหญ่ขึ้น
merit,บุญ,n.,His hard work earned him merit.,การทำงานหนักของเขาทำให้เขาได้รับบุญ
methodology,วิธีการ,n.,The study followed a specific methodology.,การศึกษานี้ปฏิบัติตามระเบียบวิธีเฉพาะ
midst,ท่ามกลาง,n.,"In the midst of chaos, they found peace.",ท่ามกลางความสับสนวุ่นวาย พวกเขาพบความสงบสุข
migration,การโยกย้าย,n.,The migration of birds is fascinating.,การอพยพของนกเป็นสิ่งที่น่าหลงใหล
militant,สงคราม,n./ adj.,The militant group staged protests.,กลุ่มติดอาวุธได้จัดการประท้วง
militia,อาสาสมัคร,n.,The militia defended the town.,ทหารอาสาปกป้องเมือง
mill,โรงสี,n.,The mill produced lumber.,โรงสีได้ผลิตไม้แปรรูป
minimal,น้อยที่สุด,adj.,They took a minimalistic approach.,พวกเขาใช้แนวทางแบบเรียบง่าย
minimize,ย่อเล็กสุด,v.,Minimize distractions to focus better.,ลดการรบกวนเพื่อให้มีสมาธิดีขึ้น
mining,การทำเหมืองแร่,n.,Mining is an essential industry.,การทำเหมืองเป็นอุตสาหกรรมที่สำคัญ
ministry,กระทรวง,n.,He serves in the Ministry of Education.,เขาทำหน้าที่ในกระทรวงศึกษาธิการ
miracle,ความมหัศจรรย์,n.,The recovery was nothing short of a miracle.,การฟื้นตัวไม่ใช่เรื่องมหัศจรรย์เลย
misery,ความทุกข์ยาก,n.,The film portrayed the character's misery.,ภาพยนตร์เรื่องนี้พรรณนาถึงความทุกข์ยากของตัวละคร
misleading,ทำให้เข้าใจผิด,adj.,Be careful of misleading information.,ระวังข้อมูลบิดเบือน
missile,ขีปนาวุธ,n.,The missile launch was successful.,การปล่อยขีปนาวุธประสบผลสำเร็จ
mob,ม็อบ,n.,The mob gathered in protest.,ฝูงชนก็รวมตัวกันประท้วง
mobilize,ระดมพล,v.,The government can mobilize resources quickly.,รัฐบาลสามารถระดมทรัพยากรได้อย่างรวดเร็ว
moderate,ปานกลาง,adj.,Take a moderate approach to the issue.,ใช้แนวทางปานกลางในการแก้ไขปัญหา
modification,การปรับเปลี่ยน,n.,The modification improved the design.,การปรับเปลี่ยนทำให้การออกแบบดีขึ้น
monk,พระภิกษุ,n.,The monk led a life of solitude.,พระภิกษุดำเนินชีวิตอย่างสันโดษ
monopoly,การผูกขาด,n.,The company has a monopoly on the market.,บริษัทมีการผูกขาดในตลาด
morality,ศีลธรรม,n.,Morality guides our ethical decisions.,คุณธรรมเป็นแนวทางในการตัดสินใจตามหลักจริยธรรมของเรา
motive,แรงจูงใจ,n.,His motive for helping was genuine.,แรงจูงใจในการช่วยเหลือของเขาเป็นของแท้
motorist,ผู้ขับขี่รถยนต์,n.,Motorists should obey traffic laws.,ผู้ขับขี่รถยนต์ควรปฏิบัติตามกฎหมายจราจร
municipal,เทศบาล,adj.,Municipal services are essential for cities.,บริการของเทศบาลถือเป็นสิ่งสำคัญสำหรับเมืองต่างๆ
mutual,ซึ่งกันและกัน,adj.,They have a mutual understanding.,พวกเขามีความเข้าใจร่วมกัน
nationwide,ทั่วประเทศ,adj.,The sale is available nationwide.,มีวางจำหน่ายทั่วประเทศ
naval,กองทัพเรือ,adj.,The naval fleet patrolled the coast.,กองเรือลาดตระเวนชายฝั่ง
neglect,ละเลย,v./ n.,Neglect of responsibilities can lead to problems.,การละเลยความรับผิดชอบอาจทำให้เกิดปัญหาได้
neighbouring,ใกล้เคียง,adj.,Our neighboring town is lovely.,เมืองข้างเคียงของเราก็น่ารัก
nest,รัง,n.,The bird built a nest in the tree.,นกสร้างรังอยู่บนต้นไม้
net,สุทธิ,adj.,The fisherman cast his net.,ชาวประมงก็ทอดแหของเขา
newsletter,จดหมายข่าว,n.,Subscribe to our monthly newsletter.,สมัครรับจดหมายข่าวรายเดือนของเรา
niche,ซอก,n.,She found her niche in the art world.,เธอค้นพบช่องทางของเธอในโลกศิลปะ
noble,มีเกียรติ,adj.,His actions were noble and selfless.,การกระทำของเขามีเกียรติและไม่เสียสละ
nod,พยักหน้า,v.,He gave a nod of approval.,เขาพยักหน้าเห็นด้วย
nominate,เสนอชื่อ,v.,They will nominate a candidate for the award.,พวกเขาจะเสนอชื่อผู้สมัครชิงรางวัล
nomination,การเสนอชื่อ,n.,Her nomination for the prize was well-deserved.,การเสนอชื่อเข้าชิงรางวัลของเธอสมควรได้รับ
nominee,ผู้ได้รับการเสนอชื่อ,n.,The nominee graciously accepted the honor.,ผู้ได้รับการเสนอชื่อเข้ารับเกียรติอย่างสง่างาม
nonetheless,อย่างไรก็ตาม,adv.,"Nonetheless, they completed the task.",อย่างไรก็ตาม พวกเขาก็ทำภารกิจเสร็จสิ้น
non-profit,ไม่แสวงหาผลกำไร,adj.,The organization is a non-profit.,องค์กรนี้เป็นองค์กรที่ไม่แสวงหาผลกำไร
nonsense,เรื่องไร้สาระ,n.,Don't listen to his nonsense.,อย่าไปฟังเรื่องไร้สาระของเขา
noon,กลางวัน,n.,We'll meet at noon for lunch.,เราจะพบกันตอนเที่ยงเพื่อรับประทานอาหารกลางวัน
notable,เด่น,adj.,She made a notable contribution.,เธอมีส่วนสนับสนุนที่โดดเด่น
notably,สะดุดตา,adv.,His skills are notably impressive.,ทักษะของเขาน่าประทับใจมาก
notify,แจ้ง,v.,Please notify us of any changes.,กรุณาแจ้งให้เราทราบถึงการเปลี่ยนแปลงใด ๆ
notorious,ฉาวโฉ่,adj.,The notorious criminal was captured.,อาชญากรฉาวโฉ่ถูกจับ
novel,นิยาย,adj.,The novel tells an exciting story.,นวนิยายเรื่องนี้บอกเล่าเรื่องราวที่น่าตื่นเต้น
nursery,สถานรับเลี้ยงเด็ก,n.,The nursery is filled with colorful flowers.,เรือนเพาะชำเต็มไปด้วยดอกไม้หลากสีสัน
objection,การคัดค้าน,n.,There was no objection to the plan.,ไม่มีการคัดค้านแผน
oblige,บังคับ,v.,Kindly oblige my request.,กรุณาปฏิบัติตามคำขอของฉัน
obsess,ครอบงำ,v.,Don't obsess over minor details.,อย่าหมกมุ่นกับรายละเอียดเล็กๆ น้อยๆ
obsession,ความหลงใหล,n.,His obsession with cleanliness is well-known.,ความหลงใหลในความสะอาดของเขาเป็นที่รู้จักกันดี
occasional,เป็นครั้งคราว,adj.,We have occasional meetings.,เรามีการประชุมเป็นครั้งคราว
occurrence,การเกิดขึ้น,n.,The occurrence was rare.,เหตุการณ์นี้เกิดขึ้นไม่บ่อยนัก
odds,อัตราต่อรอง,n.,The odds of winning are slim.,โอกาสในการชนะมีน้อย
offering,การเสนอขาย,n.,The church is collecting offerings.,ทางคริสตจักรกำลังรวบรวมเครื่องบูชา
offspring,ลูกหลาน,n.,The couple is expecting an offspring.,ทั้งคู่คาดหวังว่าจะมีลูกหลาน
operational,การดำเนินงาน,adj.,The factory is now operational.,ขณะนี้โรงงานเปิดดำเนินการแล้ว
opt,เลือก,v.,You can opt for the vegetarian option.,คุณสามารถเลือกตัวเลือกมังสวิรัติได้
optical,แสง,adj.,Optical illusions can be fascinating.,ภาพลวงตาอาจเป็นเรื่องที่น่าหลงใหล
optimism,มองในแง่ดี,n.,His optimism is infectious.,การมองโลกในแง่ดีของเขาติดเชื้อ
oral,ทางปาก,adj.,They conducted an oral examination.,พวกเขาได้ทำการตรวจช่องปาก
organizational,องค์กร,adj.,Organizational skills are crucial.,ทักษะการจัดองค์กรมีความสำคัญ
orientation,ปฐมนิเทศ,n.,Attend the orientation for new employees.,เข้าร่วมปฐมนิเทศพนักงานใหม่
originate,กำเนิด,v.,The idea may originate from various sources.,แนวคิดนี้อาจมาจากแหล่งต่างๆ
outbreak,การระบาด,n.,An outbreak of illness occurred in the area.,เกิดเหตุการเจ็บป่วยเกิดขึ้นในพื้นที่
outing,ออกนอกบ้าน,n.,They enjoyed a peaceful outing.,พวกเขาสนุกกับการออกไปเที่ยวอย่างสงบ
outlet,ทางออก,n.,The store is a popular shopping outlet.,ร้านค้าเป็นแหล่งช้อปปิ้งยอดนิยม
outlook,แนวโน้ม,n.,He has a positive outlook on life.,เขามีทัศนคติเชิงบวกต่อชีวิต
outrage,ความชั่วร้าย,n./ v.,The decision caused outrage among the public.,การตัดสินใจดังกล่าวทำให้เกิดความไม่พอใจในหมู่ประชาชน
outsider,คนนอก,n.,"As an outsider, he had a different perspective.",ในฐานะคนนอกเขามีมุมมองที่แตกต่างออกไป
overlook,มองข้าม,v.,Don't overlook the importance of details.,อย่ามองข้ามความสำคัญของรายละเอียด
overly,สุดเหวี่ยง,adv.,She's overly concerned about her grades.,เธอกังวลมากเกินไปเกี่ยวกับผลการเรียนของเธอ
oversee,กำกับดูแล,v.,He oversees the daily operations.,เขาดูแลการปฏิบัติงานประจำวัน
overturn,คว่ำ,v.,The court may overturn the verdict.,ศาลอาจกลับคำพิพากษาได้
overwhelm,ประเด,v.,The workload can overwhelm employees.,ภาระงานสามารถครอบงำพนักงานได้
overwhelming,ล้นหลาม,adj.,The support from the community was overwhelming.,การสนับสนุนจากชุมชนมีอย่างล้นหลาม
pad,เบาะ,n.,Write your notes on the pad.,เขียนบันทึกของคุณลงบนแผ่น
parameter,พารามิเตอร์,n.,The parameter of the experiment is critical.,พารามิเตอร์ของการทดสอบมีความสำคัญ
parental,ผู้ปกครอง,adj.,Parental guidance is essential for children.,คำแนะนำจากผู้ปกครองเป็นสิ่งสำคัญสำหรับเด็ก
parish,ตำบล,n.,The local parish hosted a charity event.,ตำบลในพื้นที่ได้จัดกิจกรรมการกุศล
parliamentary,รัฐสภา,adj.,They discussed parliamentary procedures.,พวกเขาหารือเกี่ยวกับขั้นตอนของรัฐสภา
partial,บางส่วน,adj.,She showed partiality towards her friend.,เธอแสดงความลำเอียงต่อเพื่อนของเธอ
passing,ผ่าน,n.,Her passing left a void in our lives.,การจากไปของเธอทำให้ชีวิตเราว่างเปล่า
passive,เฉยๆ,adj.,His passive attitude was frustrating.,ทัศนคติที่ไม่โต้ตอบของเขาน่าหงุดหงิด
pastor,บาทหลวง,n.,The pastor delivered a powerful sermon.,พระศาสดาทรงแสดงพระธรรมเทศนาอันทรงพลัง
patch,แพทช์,n.,Patch up the hole in the roof.,เจาะรูบนหลังคา.
patent,สิทธิบัตร,n.,The company holds a patent for the technology.,บริษัทถือสิทธิบัตรเทคโนโลยี
pathway,ทางเดิน,n.,The pathway leads to the garden.,ทางเดินนำไปสู่สวน
patrol,ลาดตระเวน,n./ v.,The security patrol monitors the premises.,หน่วยลาดตระเวนรักษาความปลอดภัยตรวจสอบสถานที่
patron,ผู้อุปถัมภ์,n.,He's a loyal patron of the restaurant.,เขาเป็นผู้อุปถัมภ์ร้านอาหารที่ภักดี
peak,จุดสูงสุด,n.,The mountain peak was breathtaking.,ยอดเขาน่าทึ่งมาก
peasant,ชาวนา,n.,The peasant worked in the fields.,ชาวนาทำงานในทุ่งนา
peculiar,แปลกประหลาด,adj.,Her peculiar behavior raised questions.,พฤติกรรมที่แปลกประหลาดของเธอทำให้เกิดคำถาม
persist,ยังคงอยู่,v.,They persist in their efforts to succeed.,พวกเขายืนหยัดในความพยายามที่จะประสบความสำเร็จ
persistent,ดื้อดึง,adj.,Her persistent cough concerned her.,อาการไออย่างต่อเนื่องของเธอทำให้เธอกังวล
personnel,บุคลากร,n.,The personnel department handles hiring.,ฝ่ายบุคคลจัดการการจ้างงาน
petition,คำร้อง,n.,Sign the petition to support the cause.,ลงนามคำร้องเพื่อสนับสนุนสาเหตุ
philosophical,เชิงปรัชญา,adj.,He had a deep philosophical outlook.,เขามีมุมมองเชิงปรัชญาที่ลึกซึ้ง
physician,แพทย์,n.,The physician treated the patient.,แพทย์ได้รักษาคนไข้.
pioneer,ผู้บุกเบิก,n./ v.,She was a pioneer in the field of science.,เธอเป็นผู้บุกเบิกด้านวิทยาศาสตร์
pipeline,ไปป์ไลน์,n.,The pipeline transports oil to the refinery.,ท่อส่งน้ำมันไปยังโรงกลั่น
pirate,โจรสลัด,n.,The pirate ship approached from the horizon.,เรือโจรสลัดเข้ามาใกล้จากขอบฟ้า
pit,หลุม,n.,The pit was deep and dangerous.,หลุมนั้นลึกและอันตราย
plea,ขอร้อง,n.,His plea for forgiveness was sincere.,คำวิงวอนของเขาเพื่อการให้อภัยนั้นจริงใจ
plead,ขอร้อง,v.,He will plead his case in court.,เขาจะดำเนินคดีในศาล
pledge,จำนำ,v./ n.,They made a pledge to help the community.,พวกเขาให้คำมั่นที่จะช่วยเหลือชุมชน
plug,ปลั๊ก,v./ n.,Plug in the device to charge it.,เสียบอุปกรณ์เพื่อชาร์จ
plunge,กระโดด,v.,He decided to plunge into the cold water.,เขาตัดสินใจกระโดดลงไปในน้ำเย็น
pole,เสา,n.,She used a long pole to reach the fruit.,เธอใช้เสายาวเพื่อเข้าถึงผลไม้
poll,แบบสำรวจความคิดเห็น,n.,The poll indicated a close race.,ผลสำรวจระบุว่ามีการแข่งขันที่ใกล้ชิด
pond,บ่อน้ำ,n.,Ducks swim in the pond.,เป็ดว่ายอยู่ในสระน้ำ
pop,โผล่,v.,The balloon will pop if you prick it.,ลูกโป่งจะแตกถ้าคุณแทงมัน
portfolio,ผลงาน,n.,His portfolio includes various investments.,ผลงานของเขาประกอบด้วยการลงทุนต่างๆ
portray,พรรณนา,v.,She can portray a wide range of characters.,เธอสามารถถ่ายทอดตัวละครได้หลากหลาย
postpone,เลื่อน,v.,They had to postpone the meeting.,พวกเขาต้องเลื่อนการประชุมออกไป
post-war,หลังสงคราม,adj.,The post-war era brought many changes.,ยุคหลังสงครามนำมาซึ่งการเปลี่ยนแปลงมากมาย
practitioner,ผู้ประกอบวิชาชีพ,n.,The practitioner is skilled in their field.,ผู้ประกอบวิชาชีพมีความชำนาญในสาขาของตน
preach,สั่งสอน,v.,The preacher delivered a powerful sermon.,พระศาสดาทรงแสดงพระธรรมเทศนาอันทรงพลัง
precedent,แบบอย่าง,n.,The decision set a precedent.,การตัดสินใจเป็นแบบอย่าง
precision,ความแม่นยำ,n.,The watchmaker's precision is remarkable.,ความแม่นยำของช่างทำนาฬิกานั้นน่าทึ่งมาก
predator,นักล่า,n.,The jungle is home to many predators.,ป่าเป็นที่อยู่ของสัตว์นักล่ามากมาย
predecessor,บรรพบุรุษ,n.,Her predecessor laid the groundwork.,บรรพบุรุษของเธอได้วางรากฐาน
predominantly,เด่น,adv.,The team is predominantly young.,ทีมงานยังเด็กเป็นส่วนใหญ่
pregnancy,การตั้งครรภ์,n.,Her pregnancy was a joyous surprise.,การตั้งครรภ์ของเธอเป็นเรื่องที่น่าประหลาดใจ
prejudice,อคติ,n.,Prejudice should have no place in society.,อคติไม่ควรมีที่ในสังคม
preliminary,เบื้องต้น,adj.,We are in the preliminary stages of planning.,เรากำลังอยู่ในขั้นตอนการวางแผนเบื้องต้น
premier,นายกรัฐมนตรี,n.,The premier of the movie was a success.,รอบปฐมทัศน์ของภาพยนตร์ประสบความสำเร็จ
premise,สถานที่ตั้ง,n.,The premise of the story is intriguing.,เนื้อเรื่องก็น่าสนใจ
premium,เบี้ยประกันภัย,n.,You can get a premium subscription.,คุณสามารถรับการสมัครสมาชิกระดับพรีเมียมได้
prescribe,กำหนด,v.,The doctor will prescribe medication.,แพทย์จะสั่งยาให้
presently,ปัจจุบัน,adv.,We will start the meeting presently.,เราจะเริ่มการประชุมทันที
preside,เป็นประธาน,v.,She will preside over the ceremony.,เธอจะมาเป็นประธานในพิธี
